keyword_id|keyword_name|movie_count
263548|short film|36237
187056|woman director|15948
818|based on novel or book|7955
158718|lgbt|6791
6029|concert|6023
9826|murder|5316
5565|biography|4904
258533|gay theme|4872
155477|softcore|4517
181429|lost film|4267
154802|silent film|3979
6075|sports|3959
4344|musical|3934
163053|found footage|3760
10683|coming of age|3646
159551|pink film|3449
207317|christmas|3418
18035|family|3236
9673|love|3219
9672|based on true story|3170
1956|world war ii|3100
12999|black and white|3088
285787|experimental|2836
9748|revenge|2749
282080|documentary|2691
6054|friendship|2535
210024|anime|2455
9840|romance|2358
10181|based on play or musical|2259
779|martial arts|2063
242|new york city|2061
9663|sequel|1990
283297|music|1895
315058|horror|1842
162846|ghost|1837
5970|wrestling|1798
10123|dark comedy|1735
10714|serial killer|1721
221355|nature documentary|1688
6895|philippines|1679
6078|politics|1667
209476|boxing|1667
14893|art|1658
10121|stop motion|1646
34079|death|1639
18330|nature|1585
281237|independent film|1577
6270|high school|1569
6149|police|1545
1930|kidnapping|1494
316421|drama|1490
3133|vampire|1460
2199|opera|1441
12377|zombie|1437
233|japan|1420
12339|slasher|1417
11800|mockumentary|1383
1691|dance|1361
322268|comedy|1354
14964|drugs|1347
236|suicide|1330
15162|dog|1318
156866|based on short story|1316
11001|religion|1310
9951|alien|1302
9714|remake|1277
9716|stand-up comedy|1261
4434|interview|1244
65|holiday|1239
9715|superhero|1239
13042|football (soccer)|1236
1299|monster|1219
4379|time travel|1215
703|detective|1201
378|prison|1197
206441|pro wrestling|1186
9887|surrealism|1185
309328|documentary short|1180
8201|satire|1161
570|rape|1153
207928|19th century|1148
90|paris, france|1138
3149|gangster|1126
6152|supernatural|1114
11634|live performance|1114
9706|anthology|1110
9917|mixed martial arts (mma)|1102
190370|erotic movie|1094
192790|combat sports|1094
1228|1970s|1092
6038|marriage|1082
970|parent child relationship|1077
212|london, england|1076
13141|based on manga|1076
280617|student film|1064
10292|gore|1056
15216|avant-garde|1043
9799|romcom|1036
1415|small town|1035
208289|1980s|1027
10873|school|1014
12670|los angeles, california|1012
2343|magic|1009
254|france|985
33490|filmmaking|985
9872|grief|970
6513|cartoon|966
3205|fairy tale|962
246377|music documentary|961
