keyword_id	keyword_name	movie_count	assigned_moods	assignment_type	confidence	short_reason
263548	short film	36237	Uncategorized	none	high	production format, not mood-relevant
187056	woman director	15948	Uncategorized	none	high	credits metadata, not mood-relevant
818	based on novel or book	7955	Uncategorized	none	high	source material tag, not mood-relevant
158718	lgbt	6791	Uncategorized	none	high	identity tag
6029	concert	6023	Happy	single	medium	live music events evoke joy
9826	murder	5316	Afraid,Angry	multi	high	violent crime evokes fear and anger
5565	biography	4904	Interested	single	medium	factual life stories evoke curiosity
258533	gay theme	4872	Uncategorized	none	high	identity tag, not mood-relevant
155477	softcore	4517	Uncategorized	none	high	content rating, not mood-relevant
181429	lost film	4267	Uncategorized	none	high	archival status, not mood-relevant
154802	silent film	3979	Interested	single	high	film form/style tag, closer to curiosity than direct affect
6075	sports	3959	Happy,Interested	multi	medium	competition and triumph evoke joy and engagement
4344	musical	3934	Happy	single	medium	song-and-dance genre typically uplifting
163053	found footage	3760	Afraid	single	medium	horror subgenre, tension and dread
10683	coming of age	3646	Interested,Sad	multi	medium	growth stories with nostalgia and bittersweet moments
159551	pink film	3449	Uncategorized	none	high	Japanese production category, not mood-relevant
207317	christmas	3418	Happy	single	high	holiday cheer and warmth
18035	family	3236	Happy	single	medium	family themes generally warm
9673	love	3219	Happy	single	medium	romantic affection evokes joy
9672	based on true story	3170	Uncategorized	none	high	source material tag, not mood-relevant
1956	world war ii	3100	Sad,Afraid,Angry	multi	high	war atrocities evoke grief, fear, anger
12999	black and white	3088	Uncategorized	none	high	visual format, not mood-relevant
285787	experimental	2836	Interested,Surprised	multi	medium	unconventional art provokes curiosity and surprise
9748	revenge	2749	Angry	single	high	retribution driven by anger
282080	documentary	2691	Interested	single	medium	informational content evokes curiosity
6054	friendship	2535	Happy	single	high	bonds of companionship evoke warmth
210024	anime	2455	Uncategorized	none	high	animation style, not mood-relevant
9840	romance	2358	Happy	single	high	love stories evoke joy
10181	based on play or musical	2259	Uncategorized	none	high	source material tag, not mood-relevant
779	martial arts	2063	Interested	single	medium	action choreography evokes engagement
242	new york city	2061	Uncategorized	none	high	setting, not mood-relevant
9663	sequel	1990	Uncategorized	none	high	franchise tag, not mood-relevant
283297	music	1895	Happy	single	medium	musical themes generally uplifting
315058	horror	1842	Disgusted,Afraid	multi	high	genre defined by fear and revulsion
162846	ghost	1837	Afraid	single	high	supernatural fear
5970	wrestling	1798	Happy	single	medium	wrestling films consistently entertaining, underdog stories with Happy tone
10123	dark comedy	1735	Happy,Surprised	multi	medium	humor with unexpected dark twists
10714	serial killer	1721	Disgusted,Afraid	multi	high	predatory violence evokes fear and revulsion
221355	nature documentary	1688	Interested	single	medium	educational nature content
6895	philippines	1679	Uncategorized	none	high	country tag, not mood-relevant
6078	politics	1667	Interested,Angry	multi	medium	political themes evoke engagement and frustration
209476	boxing	1667	Happy,Interested	multi	medium	boxing films (Rocky, Creed) are underdog triumph stories, Happy equally strong
14893	art	1658	Interested	single	medium	creative expression evokes curiosity
10121	stop motion	1646	Uncategorized	none	high	animation technique, not mood-relevant
34079	death	1639	Sad	single	high	mortality evokes grief
18330	nature	1585	Interested	single	medium	natural world evokes curiosity
281237	independent film	1577	Uncategorized	none	high	production category, not mood-relevant
6270	high school	1569	Uncategorized	none	medium	setting, not inherently mood-specific
6149	police	1545	Uncategorized	none	low	law enforcement, engagement with procedure (low-conf Interested removed)
1930	kidnapping	1494	Afraid,Angry	multi	high	abduction evokes fear and outrage
316421	drama	1490	Interested,Sad	multi	medium	dramatic conflict often sad and engaging
3133	vampire	1460	Afraid	single	high	horror creature, fear
2199	opera	1441	Uncategorized	none	low	musical art form (low-conf Interested removed)
12377	zombie	1437	Disgusted,Afraid	multi	high	undead horror, fear and revulsion
233	japan	1420	Uncategorized	none	high	country tag, not mood-relevant
12339	slasher	1417	Disgusted,Afraid	multi	high	violent horror subgenre
11800	mockumentary	1383	Happy,Surprised	multi	medium	comedic fake docs, humor and surprise
1691	dance	1361	Happy	single	medium	movement and expression, joy
322268	comedy	1354	Happy	single	high	genre defined by humor
14964	drugs	1347	Sad,Disgusted	multi	medium	substance abuse themes, sadness and revulsion
236	suicide	1330	Sad	single	high	self-harm evokes deep sadness
15162	dog	1318	Happy	single	medium	companion animals, warmth
156866	based on short story	1316	Uncategorized	none	high	source material tag
11001	religion	1310	Uncategorized	none	low	broad spiritual themes (low-conf Interested removed)
9951	alien	1302	Interested,Surprised,Afraid	multi	medium	extraterrestrial encounters evoke fear, wonder, curiosity
9714	remake	1277	Uncategorized	none	high	production tag, not mood-relevant
9716	stand-up comedy	1261	Happy	single	high	comedy performance, humor
4434	interview	1244	Interested	single	medium	conversational format, curiosity
65	holiday	1239	Happy	single	high	celebrations evoke joy
9715	superhero	1239	Happy,Interested	multi	medium	heroic action, excitement and engagement
13042	football (soccer)	1236	Happy,Interested	multi	medium	competitive sport, joy and engagement
1299	monster	1219	Afraid	single	high	creature horror, fear
4379	time travel	1215	Interested,Surprised	multi	medium	sci-fi concept, curiosity and wonder
703	detective	1201	Interested	single	high	investigative mystery, engagement
378	prison	1197	Sad,Afraid	multi	medium	confinement evokes sadness and dread
206441	pro wrestling	1186	Uncategorized	none	low	entertainment sport (low-conf Interested removed)
9887	surrealism	1185	Interested,Surprised	multi	medium	dreamlike art provokes wonder and curiosity
309328	documentary short	1180	Interested	single	medium	short informational content
8201	satire	1161	Happy,Angry	multi	medium	humor targeting societal issues
570	rape	1153	Sad,Disgusted,Angry	multi	high	sexual violence evokes revulsion, outrage, grief
207928	19th century	1148	Uncategorized	none	high	time period, not mood-relevant
90	paris, france	1138	Uncategorized	none	high	setting, not mood-relevant
3149	gangster	1126	Interested,Afraid	multi	medium	criminal underworld, tension and engagement
6152	supernatural	1114	Surprised,Afraid	multi	medium	beyond-natural phenomena, fear and wonder
11634	live performance	1114	Uncategorized	none	low	entertainment event (low-conf Happy removed)
9706	anthology	1110	Uncategorized	none	high	narrative format, not mood-relevant
9917	mixed martial arts (mma)	1102	Uncategorized	none	low	combat sport (low-conf Interested removed)
190370	erotic movie	1094	Uncategorized	none	medium	content category, not mood-specific
192790	combat sports	1094	Uncategorized	none	low	competitive fighting (low-conf Interested removed)
1228	1970s	1092	Uncategorized	none	high	decade tag, not mood-relevant
6038	marriage	1082	Happy,Sad	multi	medium	can be joyful union or troubled relationship
970	parent child relationship	1077	Happy,Sad	multi	medium	familial bond, warmth or conflict
212	london, england	1076	Uncategorized	none	high	setting, not mood-relevant
13141	based on manga	1076	Uncategorized	none	high	source material tag
280617	student film	1064	Uncategorized	none	high	production category
10292	gore	1056	Disgusted	single	high	graphic violence, revulsion and fear (film data: disgust primary)
15216	avant-garde	1043	Interested,Surprised	multi	medium	experimental art, surprise and curiosity
9799	romcom	1036	Happy	single	high	romantic comedy, humor and warmth
1415	small town	1035	Uncategorized	none	medium	setting, not inherently mood-specific
208289	1980s	1027	Uncategorized	none	high	decade tag
10873	school	1014	Uncategorized	none	medium	setting, not mood-specific
12670	los angeles, california	1012	Uncategorized	none	high	setting
2343	magic	1009	Happy,Surprised	multi	medium	wonder and enchantment
254	france	985	Uncategorized	none	high	country tag
33490	filmmaking	985	Interested	single	medium	creative process, curiosity
9872	grief	970	Sad	single	high	mourning and loss
6513	cartoon	966	Happy	single	medium	animated entertainment, typically lighthearted
3205	fairy tale	962	Happy,Surprised	multi	medium	magical stories, wonder and joy
246377	music documentary	961	Interested	single	medium	musical exploration
534	mexico	958	Uncategorized	none	high	country tag
9807	film noir	949	Sad,Afraid	multi	medium	dark crime genre, dread and melancholy
156205	concert film	949	Happy	single	medium	live music joy
297442	animation	947	Uncategorized	none	high	production format
156764	pre-code	942	Uncategorized	none	high	era classification
4326	theater play	938	Uncategorized	none	low	theatrical performance (low-conf Interested removed)
380	sibling relationship	930	Happy,Sad	multi	low	sibling bonds evoke both warmth (Narnia) and conflict, analogous to marriage/parent-child
9755	parody	929	Happy	single	high	comedic imitation, humor
12425	racism	926	Sad,Angry	multi	high	discrimination evokes outrage and sadness
208992	1960s	923	Uncategorized	none	high	decade tag
7312	road trip	922	Happy,Interested	multi	medium	journey and discovery
9817	behind the scenes	913	Interested	single	medium	production insight
2679	artist	912	Interested	single	medium	creative pursuit
128	love triangle	911	Sad,Angry	multi	medium	romantic conflict, jealousy and heartbreak
1326	infidelity	896	Sad,Angry	multi	high	betrayal in relationships
3307	surreal	893	Interested,Surprised	multi	medium	dreamlike imagery
4565	dystopia	886	Sad,Afraid,Angry	multi	high	oppressive futures evoke dread, grief, rage
10235	family relationships	884	Happy,Sad	multi	low	family bonds evoke both joy (Inside Out) and grief (Interstellar), consistent with parent-child/marriage
250606	queer	883	Uncategorized	none	high	identity tag
1566	dreams	881	Interested,Surprised	multi	medium	subconscious imagery, wonder
409	africa	870	Uncategorized	none	high	geographic tag
309974	absurd	868	Happy,Surprised	multi	medium	illogical humor and unexpected turns
12565	psychological thriller	849	Interested,Afraid	multi	high	mind games, tension and engagement
159315	mental health	849	Interested,Sad	multi	medium	emotional struggles, empathy and awareness
9717	based on comic	836	Uncategorized	none	high	source material tag
470	spy	833	Interested,Afraid	multi	medium	espionage, tension and intrigue
5340	investigation	831	Interested	single	high	detective work, engagement
13027	wedding	828	Happy	single	high	celebration of union
1157	husband wife relationship	825	Happy,Sad	multi	low	marital bonds evoke both joy and grief, consistent with marriage/parent-child
240119	father son relationship	814	Happy,Sad	multi	low	father-son films have both warm and tragic elements, consistent with parent-child
264386	lesbian	803	Uncategorized	none	high	identity tag
14534	relationship	797	Happy,Sad	multi	medium	relationship films (Eternal Sunshine, Crazy Stupid Love) consistently evoke joy and grief
9957	loneliness	788	Sad	single	high	isolation and emotional pain
894	depression	786	Sad	single	high	mental health condition, deep sadness
5774	forest	786	Uncategorized	none	medium	setting
316362	thriller	778	Interested,Afraid	multi	high	genre defined by suspense and tension
15001	demon	777	Afraid	single	high	evil entity, fear
13005	doctor	774	Uncategorized	none	medium	profession, not mood-specific
10229	singer	773	Happy	single	medium	singer films (Coco, Wicked) consistently uplifting, music as dream evokes joy
207883	1940s	764	Uncategorized	none	high	decade tag
289844	boys' love (bl)	763	Uncategorized	none	low	romantic genre, typically warm (low-conf Happy removed)
2652	nazi	760	Disgusted,Afraid,Angry	multi	high	fascism evokes outrage, revulsion, fear
549	prostitute	753	Sad,Disgusted	multi	medium	exploitation themes
50244	making of	753	Interested	single	medium	production insight
9713	friends	750	Happy	single	high	companionship and warmth
13008	train	750	Uncategorized	none	medium	transport/setting
18257	educational	746	Interested	single	medium	learning content
642	robbery	740	Interested,Afraid	multi	medium	criminal heist, tension and engagement
2383	feminism	735	Interested,Angry	multi	medium	social justice, engagement and righteous anger
159290	sports documentary	735	Interested	single	medium	athletic exploration
210608	1990s	735	Uncategorized	none	high	decade tag
