Classifier,Scaling,Train Acc,Train F1,Val Acc,Val Prec,Val Rec,Val F1
KNN (k=5),Scaled,0.8401937046004843,0.7618812458803136,0.7966101694915254,0.7759584400561844,0.7028445925961454,0.7040978296080338
KNN (k=5),Unscaled,0.837772397094431,0.7652892039373003,0.7966101694915254,0.7699439718988591,0.6828960726476254,0.6930279180279182
SVC,Scaled,0.9818401937046005,0.9846572777061863,0.8220338983050848,0.7416601255886971,0.6420857414646235,0.6722445916165508
SVC,Unscaled,0.9455205811138014,0.9449300504839614,0.8559322033898306,0.7576860464732319,0.7441265577911541,0.7484836243054696
GaussianNB,Scaled,0.8547215496368039,0.8501390222667585,0.847457627118644,0.7247825706835339,0.7220756692806383,0.7217307207131444
GaussianNB,Unscaled,0.8547215496368039,0.8501390222667585,0.847457627118644,0.7247825706835339,0.7220756692806383,0.7217307207131444
LogisticRegression,Scaled,1.0,1.0,0.864406779661017,0.7667687074829932,0.7503377379153776,0.7569290465631929
LogisticRegression,Unscaled,0.8559322033898306,0.8310178772685564,0.8220338983050848,0.7206943383413972,0.7810758851131522,0.7409052320567925
MLPClassifier,Scaled,1.0,1.0,0.8898305084745762,0.7537481694692724,0.7666211020248286,0.7597044472340607
MLPClassifier,Unscaled,1.0,1.0,0.8813559322033898,0.790580870929303,0.761001462864817,0.7701269660571987
Dummy (most_frequent),Scaled,0.3171912832929782,0.06880252100840337,0.3135593220338983,0.044794188861985475,0.14285714285714285,0.06820276497695853
Dummy (most_frequent),Unscaled,0.3171912832929782,0.06880252100840337,0.3135593220338983,0.044794188861985475,0.14285714285714285,0.06820276497695853
Dummy (stratified),Scaled,0.19612590799031476,0.13308641327641668,0.15254237288135594,0.11364124597207304,0.1219273843497446,0.11708016539949313
Dummy (stratified),Unscaled,0.19612590799031476,0.13308641327641668,0.15254237288135594,0.11364124597207304,0.1219273843497446,0.11708016539949313
